iter	MultiClass
0	1.347762613
1	1.313984438
2	1.283390077
3	1.255307586
4	1.229677289
5	1.205427112
6	1.183000666
7	1.162551709
8	1.143687114
9	1.126015967
10	1.109603863
11	1.093615139
12	1.078541845
13	1.06479848
14	1.051815581
15	1.03910103
16	1.027552926
17	1.015714592
18	1.004964741
19	0.9951667532
20	0.9850243255
21	0.9764327382
22	0.9678760014
23	0.9600960113
24	0.951458257
25	0.9453845702
26	0.9383393836
27	0.9311333706
28	0.9248184619
29	0.9176487918
30	0.911945097
31	0.9056679454
32	0.9001646248
33	0.8952401567
34	0.8900218258
35	0.8848450369
36	0.8796737096
37	0.8750910962
38	0.8712431214
39	0.8660866412
40	0.8615303466
41	0.8570023171
42	0.853108938
43	0.8490721812
44	0.8460353727
45	0.8426633516
46	0.838584225
47	0.8350174093
48	0.8319288416
49	0.8286599124
50	0.8254421137
51	0.821673157
52	0.8187700032
53	0.8162865936
54	0.8129589113
55	0.810229121
56	0.8079997422
57	0.8056800279
58	0.8035639545
59	0.8017514902
60	0.7997805162
61	0.7976274164
62	0.7948002377
63	0.7926957603
64	0.7910058072
65	0.7893238727
66	0.7877624436
67	0.7863721345
68	0.784804409
69	0.7831106416
70	0.7815556005
71	0.7794439122
72	0.7776249516
73	0.7758891675
74	0.7746507211
75	0.7734904304
76	0.772661147
77	0.7716260002
78	0.7700527381
79	0.7687954204
80	0.767458063
81	0.7660546159
82	0.7649140348
83	0.7638120757
84	0.7624456073
85	0.761159918
86	0.7601168196
87	0.7587988959
88	0.7578102802
89	0.7569313253
90	0.7554473296
91	0.7543299016
92	0.7533932124
93	0.752279637
94	0.7515492176
95	0.750475661
96	0.7496603206
97	0.7493938214
98	0.7484085792
99	0.7475856267
100	0.7467553319
101	0.7458565308
102	0.7449368161
103	0.7440837901
104	0.7435545836
105	0.7424526461
106	0.7419080112
107	0.7414667092
108	0.740913294
109	0.7403950499
110	0.7395735136
111	0.7389997313
112	0.73862621
113	0.7381951182
114	0.7379174232
115	0.736961485
116	0.7364641718
117	0.735743114
118	0.7353709603
119	0.7349501259
120	0.7345650206
121	0.734117213
122	0.7337704195
123	0.7329965524
124	0.732274679
125	0.7317188789
126	0.731042644
127	0.7305711152
128	0.7303948452
129	0.7298344239
130	0.7294092242
131	0.7290264005
132	0.728864063
133	0.728503545
134	0.7282174143
135	0.7279279384
136	0.7275488484
137	0.7273777726
138	0.7268627581
139	0.7262385868
140	0.7257027908
141	0.7255406558
142	0.7251987031
143	0.7246483701
144	0.7243615538
145	0.7237263138
146	0.723590616
147	0.7232659156
148	0.7231379704
149	0.7228672889
150	0.7224550754
151	0.7220815575
152	0.7217860656
153	0.7217269406
154	0.7214810819
155	0.7212046721
156	0.7208392403
157	0.7204521492
158	0.7201529976
159	0.7199119391
160	0.7195601329
161	0.7193869488
162	0.7192757838
163	0.7191042752
164	0.718855451
165	0.7187645616
166	0.7184400696
167	0.7182614094
168	0.7180349964
169	0.7177730869
170	0.717575997
171	0.7172502338
172	0.7169964524
173	0.7166976541
174	0.7164248529
175	0.7162992802
176	0.7159757918
177	0.7156456645
178	0.7154317958
179	0.7152130921
180	0.7149137464
181	0.7146213312
182	0.7143857925
183	0.7141818208
184	0.7140683443
185	0.7139472978
186	0.7138232414
187	0.7136408156
188	0.7134146754
189	0.7131863274
190	0.7130530714
191	0.7128291785
192	0.7127466186
193	0.7126666745
194	0.7125360215
195	0.7123434137
196	0.7121674294
197	0.7120955275
198	0.7119503948
199	0.7118021514
200	0.7115306432
201	0.7114327153
202	0.7113153451
203	0.7111802889
204	0.7110047933
205	0.710772422
206	0.7105965893
207	0.7105085549
208	0.7103862144
209	0.710269696
210	0.7101683012
211	0.7098392921
212	0.7096110326
213	0.7094730344
214	0.7093058289
215	0.7092052119
216	0.7090583215
217	0.7088801908
218	0.7086986038
219	0.7085478394
220	0.7084366082
221	0.7082797857
222	0.7080922695
223	0.7079300279
224	0.7077307823
225	0.7073469276
226	0.7072091962
227	0.7071362066
228	0.7070238695
229	0.706878231
230	0.7066494427
231	0.7065660702
232	0.7064583068
233	0.7063708804
234	0.7062848598
235	0.7062226863
236	0.7061191254
237	0.7060425851
238	0.7059404301
239	0.7056217482
240	0.7055347125
241	0.7054659045
242	0.7052281722
243	0.7051056266
244	0.7049785118
245	0.7049198565
246	0.7047684254
247	0.7047220563
248	0.7046336496
249	0.7044443879
250	0.7043450347
251	0.7042783494
252	0.704214334
253	0.7039219652
254	0.7037147321
255	0.7034641985
256	0.7032260264
257	0.7030901059
258	0.702977886
259	0.702892706
260	0.7027427803
261	0.7025960732
262	0.7024918747
263	0.7024005367
264	0.7022304784
265	0.7020706626
266	0.7019904831
267	0.701793831
268	0.70156378
269	0.7014254544
270	0.7013560073
271	0.701268171
272	0.7011553018
273	0.7010519483
274	0.7009694064
275	0.7009090724
276	0.7007768808
277	0.7007046413
278	0.7005643734
279	0.7004850015
280	0.7004019982
281	0.7003462582
282	0.7001972775
283	0.6999806909
284	0.699881111
285	0.6998039584
286	0.6997363078
287	0.699657064
288	0.6994043236
289	0.6993460193
290	0.6992531349
291	0.6991017206
292	0.6990397587
293	0.6989067478
294	0.6988392543
295	0.6987619654
296	0.6986273072
297	0.6985676243
298	0.698359676
299	0.6982508078
