iter	Passed	Remaining
0	111	33386
1	135	20254
2	159	15772
3	181	13404
4	201	11904
5	221	10839
6	241	10105
7	261	9548
8	281	9109
9	300	8725
10	320	8415
11	340	8168
12	360	7962
13	380	7767
14	402	7638
15	422	7499
16	442	7372
17	463	7254
18	483	7149
19	503	7044
20	522	6948
21	542	6851
22	562	6776
23	582	6693
24	602	6631
25	622	6557
26	645	6523
27	665	6461
28	685	6401
29	705	6349
30	726	6305
31	746	6253
32	768	6216
33	788	6165
34	807	6113
35	826	6058
36	846	6019
37	867	5978
38	889	5951
39	909	5911
40	928	5868
41	948	5826
42	969	5796
43	989	5759
44	1010	5724
45	1030	5691
46	1052	5664
47	1072	5628
48	1094	5605
49	1115	5575
50	1136	5546
51	1156	5514
52	1178	5492
53	1198	5459
54	1217	5425
55	1238	5396
56	1259	5368
57	1279	5340
58	1300	5310
59	1320	5282
60	1342	5258
61	1363	5233
62	1383	5204
63	1403	5175
64	1423	5146
65	1443	5118
66	1463	5088
67	1483	5062
68	1503	5034
69	1524	5009
70	1543	4979
71	1563	4951
72	1583	4925
73	1604	4900
74	1624	4873
75	1644	4847
76	1664	4819
77	1684	4793
78	1703	4766
79	1724	4742
80	1745	4718
81	1764	4692
82	1785	4667
83	1805	4643
84	1826	4619
85	1846	4594
86	1866	4570
87	1887	4546
88	1907	4522
89	1928	4499
90	1949	4476
91	1969	4453
92	1990	4429
93	2010	4406
94	2030	4382
95	2050	4357
96	2071	4334
97	2091	4311
98	2111	4286
99	2130	4260
100	2150	4237
101	2171	4214
102	2191	4191
103	2211	4168
104	2232	4145
105	2251	4120
106	2271	4097
107	2290	4072
108	2310	4049
109	2331	4026
110	2350	4002
111	2370	3979
112	2390	3955
113	2409	3931
114	2429	3907
115	2449	3884
116	2470	3864
117	2491	3842
118	2511	3820
119	2531	3797
120	2551	3773
121	2570	3749
122	2589	3726
123	2609	3704
124	2630	3682
125	2650	3659
126	2670	3638
127	2691	3616
128	2711	3594
129	2731	3571
130	2751	3549
131	2770	3526
132	2791	3504
133	2812	3484
134	2832	3461
135	2852	3439
136	2871	3417
137	2891	3394
138	2913	3374
139	2934	3353
140	2954	3332
141	2976	3311
142	2996	3289
143	3015	3267
144	3035	3244
145	3054	3221
146	3074	3200
147	3094	3178
148	3114	3156
149	3134	3134
150	3155	3113
151	3176	3093
152	3196	3071
153	3217	3049
154	3237	3028
155	3257	3006
156	3277	2985
157	3297	2963
158	3317	2941
159	3337	2920
160	3357	2898
161	3378	2877
162	3398	2856
163	3419	2835
164	3442	2816
165	3465	2797
166	3488	2778
167	3510	2757
168	3531	2737
169	3551	2716
170	3571	2694
171	3590	2672
172	3610	2650
173	3629	2628
174	3648	2606
175	3668	2584
176	3688	2562
177	3707	2541
178	3729	2521
179	3750	2500
180	3770	2479
181	3790	2457
182	3811	2436
183	3831	2415
184	3851	2393
185	3871	2372
186	3890	2350
187	3910	2329
188	3929	2307
189	3949	2286
190	3968	2264
191	3989	2243
192	4010	2223
193	4031	2202
194	4051	2181
195	4071	2160
196	4090	2138
197	4110	2117
198	4131	2096
199	4152	2076
200	4172	2054
201	4193	2034
202	4213	2013
203	4234	1992
204	4255	1972
205	4274	1950
206	4294	1929
207	4314	1908
208	4335	1887
209	4359	1868
210	4380	1847
211	4402	1827
212	4423	1806
213	4444	1786
214	4466	1765
215	4490	1746
216	4512	1725
217	4535	1706
218	4557	1685
219	4580	1665
220	4601	1644
221	4623	1624
222	4646	1604
223	4668	1583
224	4689	1563
225	4712	1543
226	4733	1522
227	4754	1501
228	4775	1480
229	4794	1459
230	4814	1438
231	4835	1417
232	4856	1396
233	4876	1375
234	4896	1354
235	4916	1333
236	4937	1312
237	4959	1291
238	4980	1271
239	5002	1250
240	5023	1229
241	5044	1209
242	5065	1188
243	5086	1167
244	5107	1146
245	5130	1126
246	5151	1105
247	5172	1084
248	5193	1063
249	5215	1043
250	5240	1022
251	5260	1002
252	5285	981
253	5305	960
254	5325	939
255	5349	919
256	5369	898
257	5388	877
258	5409	856
259	5430	835
260	5453	814
261	5473	793
262	5493	772
263	5514	751
264	5534	730
265	5554	709
266	5574	688
267	5594	667
268	5614	647
269	5634	626
270	5654	605
271	5676	584
272	5696	563
273	5716	542
274	5739	521
275	5759	500
276	5779	479
277	5798	458
278	5819	437
279	5838	417
280	5857	396
281	5878	375
282	5898	354
283	5918	333
284	5939	312
285	5959	291
286	5979	270
287	5998	249
288	6019	229
289	6040	208
290	6060	187
291	6079	166
292	6101	145
293	6122	124
294	6144	104
295	6166	83
296	6188	62
297	6209	41
298	6231	20
299	6252	0
